,Species,Genus_species,Shrub-Tree,Angio-Conifer,Evergreen-Deciduous
1,ADEFAS,,S,A,E
2,AESCAL,,T,A,D
3,AMOCAL,,S,A,D
4,ARBMEN,,T,A,E
5,ARCMAN,,S,A,E
6,BACPIL,,S,A,E
7,CEACUN,,S,A,E
8,CEAPAR,,S,A,E
9,CERBET,,S,A,E
10,CORCOR,,S,A,D
11,FRACAL,,S,A,E
12,HETARB,,S,A,E
13,HOLDIS,,S,A,D
14,NOTDEN,,T,A,E
15,PRUCER,,S,A,D
16,PSEMEN,,T,C,E
17,QUEAGR,,T,A,E
18,QUEBEGA,,T,A,E
19,QUEBER,,S,A,E
20,QUEdec,,T,A,D
21,QUEDOGA,,T,A,D
22,QUEDOU,,T,A,D
23,QUEGAR,,T,A,D
24,QUEKEL,,T,A,D
25,QUELOB,,T,A,D
26,QUEWIS,,T,A,E
27,RHACRO,,S,A,E
28,SAL_SP,,S,A,D
29,SAMNIG,,S,A,D
30,TORCAL,,S,C,E
31,UMBCAL,,T,A,E
32,UNK,,NA,NA,NA
