"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp"
"1",1001,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"2",1002,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"3",1003,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"4",1004,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"5",1005,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"6",1006,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"7",1007,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"8",1008,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"9",1009,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"10",1010,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"11",1011,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"12",1012,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"13",1012.1,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"14",1013,"PPW1302","PPW1302","PPW1302","PPW1302","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
"15",1014,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"16",1014.1,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"17",1015,"PPW1301","PPW1301","PPW1301","PPW1301","QUEGAR","QUEGAR","QUEGAR","QUEGAR",1,1
"18",1016,"PPW1302","PPW1302","PPW1302","PPW1302","UMBCAL","UMBCAL","UMBCAL","UMBCAL",1,1
