"","Plot","Quad","Type","Num","Species","Confidence","Dead.Stump","SA.Height_cm","SA.BD_cm","SA.Stems","DBH_cm","X_cm","Y_cm","Notes","iNum","Point","dbh","Basal.Area","Dead","Live","Topkill","gCrown","Survival","Epicormic","Apical","NPoints","bSprout","Year"
"13","PPW1301","C1","TR",1014.1,"QUEGAR",0,NA,NA,NA,NA,15.75,0,315,NA,1014,0.100000000000023,15.75,194.82783190778,NA,1,NA,1,NA,NA,NA,1,NA,2013
"15","PPW1301","C1","TR",1012.1,"QUEGAR",0,NA,NA,NA,NA,17.3,125,120,NA,1012,0.100000000000023,17.3,235.061816323222,NA,1,NA,1,NA,NA,NA,1,NA,2013
"26","PPW1302","A2","TR",1029.1,"QUEAGR",1,NA,NA,NA,1,49.35,230,0,"NW",1029,0.099999999999909,49.35,1912.77635859682,NA,1,NA,1,NA,NA,NA,1,NA,2013
"27","PPW1302","A2","TR",1029.2,"QUEAGR",1,NA,NA,NA,1,59.4,230,0,"SW",1029,0.200000000000045,59.4,2771.16746380502,NA,1,NA,1,NA,NA,NA,1,NA,2013
"39","PPW1302","C1","TR",1096.1,"QUEAGR",1,NA,NA,NA,NA,38.7,230,322,"Tag Height 158cm",1096,0.099999999999909,38.7,1176.28297533872,NA,1,NA,1,NA,NA,NA,1,NA,2013
"40","PPW1302","C1","TR",1096.2,"QUEAGR",1,NA,NA,NA,NA,54.6,230,322,"Tag Height 142cm",1096,0.200000000000045,54.6,2341.39758879394,NA,1,NA,1,NA,NA,NA,1,NA,2013
"63","PPW1302","D1","TR",1044.1,"UMBCAL",1,NA,NA,NA,NA,2.73,91,115,"DBH CHANGED TO 2.73, FIELD CHECKED; 20130614 MFO",1044,0.099999999999909,2.73,5.85349397198484,NA,1,NA,1,NA,NA,NA,1,NA,2013
"64","PPW1302","D1","TR",1044.2,"UMBCAL",1,NA,NA,NA,NA,3.78,91,115,"DBH CHANGED TO 3.78, FIELD CHECKED; 20130614 MFO",1044,0.200000000000045,3.78,11.2220831178881,NA,1,NA,1,NA,NA,NA,1,NA,2013
"65","PPW1302","D1","TS",1044.3,"UMBCAL",1,NA,165,1.3,2,NA,91,115,"ADDED AFTER 2013 HERB RESURVEY BC INDV INCORRECTLY TAGGED; 20130614",1044,0.299999999999955,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"77","PPW1304","A1","TR",1101.1,"QUEGAR",0,NA,NA,NA,NA,51.1,234,390,"was quedec aug_sp",1101,0.099999999999909,51.1,2050.83953824505,NA,1,NA,1,NA,NA,NA,1,NA,2013
"82","PPW1304","C2","TS",1104.1,"AESCAL",1,NA,NA,NA,NA,15,446,92,NA,1104,0.099999999999909,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
"85","PPW1304","D3","TR",1106.1,"AESCAL",1,NA,NA,NA,NA,16.1,490,171,NA,1106,0.099999999999909,16.1,203.583057934253,NA,1,NA,1,NA,NA,NA,1,NA,2013
"87","PPW1305","A1","TR",1047.1,"HETARB",1,NA,NA,NA,NA,5.91,119,335,NA,1047,0.099999999999909,5.91,27.4324655909624,NA,1,NA,1,NA,NA,NA,1,NA,2013
"88","PPW1305","A1","TS",1047.2,"HETARB",1,NA,NA,NA,NA,2.8,119,335,NA,1047,0.200000000000045,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2013
