"","Plot","Quad","Type","Num","Species","X_cm","Y_cm","Basal.Area","dbh","Survival","Dead","Live","bSprout","Topkill","Epicormic","Apical","gCrown","Year"
"2588","PPW1330","B4","SA",3782,"UMBCAL",NA,NA,NA,NA,0,1,0,0,1,NA,NA,0,2018
"2639","PPW1330","B4","TR",3782,"UMBCAL",NA,NA,NA,NA,0,1,0,0,1,NA,NA,0,2018
"2626","PPW1330","B4","TR",3792,"AMOCAL",NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,2018
"2714","PPW1330","B3","TR",3792,"AMOCAL",NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,2018
"2421","PPW1330","B1","SA",3835,"AMOCAL",NA,NA,1.43138815279185,1.08,0,0,1,1,1,NA,NA,0,2018
"2812","PPW1330","B1","SA",3835,"AMOCAL",NA,NA,1.43138815279185,1.08,0,0,1,1,1,NA,NA,0,2018
"2416","PPW1330","B1","SA",3836,"UMBCAL",NA,NA,1.98587925615045,1.26,0,0,1,1,1,NA,NA,0,2018
"2783","PPW1330","B1","SA",3836,"UMBCAL",NA,NA,1.98587925615045,1.26,0,0,1,1,1,NA,NA,0,2018
"2414","PPW1330","B1","SA",3839,"QUEAGR",NA,NA,0.502419205125348,0.59,0,1,0,0,1,NA,NA,0,2018
"2806","PPW1330","B1","SA",3839,"QUEAGR",NA,NA,0.502419205125348,0.59,0,1,0,0,1,NA,NA,0,2018
"2732","PPW1330","B2","SA",3877,"UMBCAL",NA,NA,1.91205182879109,1.23,0,0,1,1,1,NA,NA,0,2018
"2773","PPW1330","B1","SA",3877,"UMBCAL",NA,NA,1.91205182879109,1.23,0,0,1,1,1,NA,NA,0,2018
"2483","PPW1330","D4","SA",4174,"QUEAGR",NA,NA,0.392699081698724,0.5,0,1,0,0,1,NA,NA,0,2018
"2664","PPW1330","D3","SA",4174,"QUEAGR",NA,NA,0.392699081698724,0.5,0,1,0,0,1,NA,NA,0,2018
"2558","PPW1330","A3","TR",5706,"HETARB",290,150,NA,NA,0,0,1,1,1,0,0,0,2018
"2614","PPW1330","B4","TR",5706,"UMBCAL",40,460,NA,NA,0,0,1,1,1,0,0,0,2018
"2110","PPW1330","A1","SA",3475,"UMBCAL",NA,NA,0.453174740280328,0.71,1,0,1,0,0,NA,NA,1,2019
"2131","PPW1330","A2","SA",3475,"AMOCAL",NA,NA,0.453174740280328,0.71,1,0,1,0,0,NA,NA,1,2019
"2191","PPW1330","A4","SA",3765,"UMBCAL",NA,NA,NA,NA,0,1,0,0,1,NA,NA,0,2019
"2203","PPW1330","A4","SA",3765,"UMBCAL",NA,NA,NA,NA,0,1,0,0,1,NA,NA,0,2019
"2229","PPW1330","B1","SA",3877,"UMBCAL",NA,NA,0.483883808469168,0.56,1,0,1,0,0,NA,NA,1,2019
"2391","PPW1330","B1","SA",3877,"UMBCAL",NA,NA,0.483883808469168,0.56,1,0,1,0,0,NA,NA,1,2019
"2352","PPW1330","C2","TR",4104,"HETARB",NA,NA,NA,NA,1,0,1,1,0,NA,NA,1,2019
"2371","PPW1330","C2","SA",4104,"HETARB",NA,NA,NA,NA,1,0,1,1,0,NA,NA,1,2019
"2397","PPW1330","D4","TR",4163,"QUEGAR",NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,2019
"2445","PPW1330","D3","TR",4163,"QUEGAR",NA,NA,NA,NA,1,0,1,1,0,NA,NA,NA,2019
"2201","PPW1330","A3","TR",5706,"HETARB",NA,NA,NA,NA,0,0,1,1,1,0,0,0,2019
"2294","PPW1330","B4","TR",5706,"UMBCAL",NA,NA,NA,NA,0,0,1,1,1,0,0,0,2019
