"","plot","ld","rl"
"1",1,2,0.111275963485241
"2",2,2.5,0.167524691671133
"3",3,1,0.0919012054800987
"4",4,2,0.104326479136944
"5",5,5,0.320943534374237
"6",6,2,0.0847545191645622
"7",7,4,0.195417791604996
"8",8,1,0.0368700250983238
"9",9,1,0.0370488651096821
"10",10,5,0.245262145996094
"11",11,2,0.0954972803592682
"12",12,5,0.346666663885117
"13",13,1,0.134264886379242
"14",14,2,0.103066705167294
"15",15,3,0.115998513996601
"16",16,1,0.073591060936451
"17",17,2,0.10378573089838
"18",18,2,0.106262989342213
"19",19,2,0.158546656370163
"20",20,6,0.38155198097229
"21",21,2.5,0.104496154934168
"22",22,4,0.248723194003105
"23",23,3,0.128501549363136
"24",24,4,0.161955088376999
"25",25,5,0.22303207218647
"26",26,3,0.147776186466217
"27",27,6,0.500244975090027
"28",28,4.25,0.318468116223812
"29",29,2.5,0.18165897578001
"30",30,6,0.505789458751678
"31",31,5,0.253428429365158
"32",32,1,0.0512820519506931
"33",33,4,0.191201727837324
"34",34,3,0.116550117731094
"35",35,2,0.0833784490823746
"36",36,3,0.181008905172348
"37",37,2,0.107899807393551
"38",38,1,0.0773295275866985
"39",39,2,0.0950570330023766
"40",40,4,0.217470422387123
"41",41,1,0.0805288478732109
"42",42,2,0.151871651411057
"43",43,5.5,0.312576912343502
"44",44,1,0.0306014772504568
"45",45,6,0.286654472351074
"46",46,4,0.156941115856171
"47",47,5,0.282456129789352
"48",48,6,0.399170130491257
"49",49,1,0.0411171466112137
"50",50,3,0.200000002980232
"51",51,6,0.41266667842865
"52",52,4,0.220588237047195
"53",53,5,0.370867758989334
"54",54,6,0.420886069536209
