"","Num","P13","P18","P19","P20","S13","S18","S19","S20","nP","nSp","NA18","NA19"
"118",1123,"PPW1307","PPW1307","PPW1307","PPW1307","QUEGAR","QUEKEL","QUEKEL","QUEKEL",1,2,0,0
"121",1126,"PPW1307","PPW1307","PPW1307","PPW1307","QUEKEL","QUEKEL","QUEAGR","QUEKEL",1,2,0,0
"154",1160,"PPW1307","PPW1307","PPW1307","PPW1307","QUEAGR","QUEAGR","QUEAGR","QUEGAR",1,2,0,0
"183",1192,"PPW1305","PPW1305",NA,NA,"QUEAGR","UMBCAL",NA,NA,1,2,0,0
"189",1198,"PPW1305","PPW1305","PPW1305",NA,"QUEAGR","UMBCAL","QUEAGR",NA,1,2,0,0
"196",1205,"PPW1306","PPW1306","PPW1306",NA,"PSEMEN","QUEKEL","PSEMEN",NA,1,2,0,0
"198",1207,"PPW1306","PPW1306","PPW1306",NA,"PSEMEN","QUEKEL","PSEMEN",NA,1,2,0,0
"231",1240,"PPW1310","PPW1310","PPW1310","PPW1310","QUEDOU","QUEGAR","QUEDOU","QUEDOU",1,2,0,0
"232",1241,"PPW1310","PPW1310","PPW1310","PPW1310","CEACUN","CERBET","CERBET","CERBET",1,2,0,0
"245",1254,"PPW1308","PPW1308","PPW1308","PPW1308","QUEGAR","QUEKEL","QUEGAR","QUEGAR",1,2,0,0
"254",1263,"PPW1311","PPW1311","PPW1311","PPW1311","QUEDOU","QUEKEL","QUEDOU","QUEDOU",1,2,0,0
"257",1266,"PPW1311",NA,"PPW1311","PPW1311","QUEGAR",NA,"QUEDOU","QUEDOU",1,2,1,0
"301",1310,"PPW1312","PPW1312","PPW1312","PPW1312","UMBCAL","UMBCAL","QUEAGR","QUEAGR",1,2,0,0
"386",1395,"PPW1312","PPW1312","PPW1312","PPW1312","ARBMEN","ARBMEN","ARBMEN","HETARB",1,2,0,0
"397",1406,"PPW1312","PPW1312","PPW1312","PPW1312","QUEAGR","QUEAGR","QUEAGR","ARBMEN",1,2,0,0
"485",1494,"PPW1312","PPW1312",NA,"PPW1312","QUEAGR","HETARB",NA,"QUEAGR",1,2,0,1
"512",1521,"PPW1312","PPW1312","PPW1312","PPW1312","HETARB","QUEAGR","HETARB","HETARB",1,2,0,0
"532",1542,"PPW1312","PPW1312","PPW1312","PPW1312","UMBCAL","UMBCAL","QUEAGR","QUEAGR",1,2,0,0
"562",1573,"PPW1312","PPW1312","PPW1312","PPW1312","UMBCAL","UMBCAL","UMBCAL","QUEAGR",1,2,0,0
"567",1578,"PPW1312","PPW1312","PPW1312","PPW1312","HETARB","QUEAGR","QUEAGR","QUEAGR",1,2,0,0
"568",1579,"PPW1312","PPW1312","PPW1312","PPW1312","UMBCAL","QUEAGR","UMBCAL","UMBCAL",1,2,0,0
"602",1613,"PPW1340","PPW1340","PPW1340",NA,"UMBCAL","UMBCAL","QUEAGR",NA,1,2,0,0
"656",1667,"PPW1340","PPW1340","PPW1340",NA,"PSEMEN","PSEMEN","UMBCAL",NA,1,2,0,0
"670",1681,"PPW1340","PPW1340","PPW1340",NA,"PSEMEN","PSEMEN","UMBCAL",NA,1,2,0,0
"704",1716,"PPW1344","PPW1344","PPW1344","PPW1344","QUEDOU","QUEKEL","QUEKEL","QUEDOU",1,2,0,0
"749",1761,"PPW1313","PPW1313","PPW1313","PPW1313","ARBMEN","HETARB","HETARB","HETARB",1,2,0,0
"893",1905,"PPW1314","PPW1314",NA,"PPW1314","HETARB","ARBMEN",NA,"ARBMEN",1,2,0,1
"899",1911,"PPW1314","PPW1314","PPW1314","PPW1314","QUEDOU","QUEDOU","QUEDOU","QUEGAR",1,2,0,0
"913",1926,"PPW1341","PPW1341","PPW1341",NA,"PSEMEN","PSEMEN","UMBCAL",NA,1,2,0,0
"924",1937,"PPW1345","PPW1345","PPW1345","PPW1345","QUEAGR","QUEAGR","QUEGAR","QUEGAR",1,2,0,0
"932",1945,"PPW1345","PPW1345","PPW1345","PPW1345","QUEGAR","QUEGAR","QUEGAR","QUEAGR",1,2,0,0
"936",1949,"PPW1345","PPW1345","PPW1345","PPW1345","QUEAGR","QUEAGR","QUEAGR","QUEGAR",1,2,0,0
"939",1952,"PPW1345","PPW1345","PPW1345","PPW1345","QUEGAR","QUEGAR","QUEGAR","QUEAGR",1,2,0,0
"945",1958,"PPW1314","PPW1314",NA,"PPW1314","ARCMAN","ARCMAN",NA,"ARBMEN",1,2,0,1
"947",1960,"PPW1314","PPW1314","PPW1314","PPW1314","QUEDOU","QUEDOU","QUEDOU","QUEAGR",1,2,0,0
"952",1965,"PPW1323","PPW1323","PPW1323","PPW1323","QUEDOU","QUEGAR","QUEDOU","QUEDOU",1,2,0,0
"1118",2131,"PPW1343","PPW1343","PPW1343","PPW1343","QUEKEL","QUEKEL","QUEKEL","QUEGAR",1,2,0,0
"1121",2134,"PPW1343","PPW1343","PPW1343",NA,"QUEAGR","QUEAGR","QUEKEL",NA,1,2,0,0
"1223",2237,"PPW1345","PPW1345","PPW1345",NA,"HETARB","ARCMAN","ARCMAN",NA,1,2,0,0
"1232",2246,"PPW1345","PPW1345","PPW1345","PPW1345","QUEDOU","QUEDOU","QUEGAR","QUEGAR",1,2,0,0
"1234",2248,"PPW1345","PPW1345","PPW1345","PPW1345","QUEDOU","QUEDOU","QUEGAR","QUEGAR",1,2,0,0
"1240",2254,"PPW1345","PPW1345","PPW1345","PPW1345","QUEGAR","QUEGAR","QUEAGR","QUEGAR",1,2,0,0
"1243",2257,"PPW1345","PPW1345","PPW1345","PPW1345","QUEGAR","QUEGAR","QUEGAR","QUEAGR",1,2,0,0
