species,,barkat10,barkat20,barkat30,barkat50
Arbutus menziesii,,1.0850245,1.998853,2.9126815,4.76377
Arbutus menziesii,,1.0850245,1.998853,2.9126815,4.76377
Arbutus menziesii,,1.8241899,3.6483798,5.4725697,9.1677236
Arbutus menziesii,,1.8241899,3.6483798,5.4725697,9.1677236
Pseudotsuga menziesii,,5.418239678,11.48304229,17.78858776,30.99612656
Pseudotsuga menziesii,,7.72668,15.45336,23.18004,38.83152
Pseudotsuga menziesii,,5.418239678,11.48304229,17.78858776,30.99612656
Pseudotsuga menziesii,,6.58749,13.17498,19.76247,33.10636
Pseudotsuga menziesii,,6.58749,13.17498,19.76247,33.10636
Pseudotsuga menziesii,,5.418239678,11.48304229,17.78858776,30.99612656
Pseudotsuga menziesii,,5.750433,11.500866,17.251299,28.899612
Pseudotsuga menziesii,,4.47,9,13.54,22.6
Pseudotsuga menziesii,,6.299212598,12.5984252,18.8976378,31.49606299
Pseudotsuga menziesii,,,12,,
Quercus agrifolia,,12.8506855,16.082518,19.3143505,25.860883
Quercus agrifolia,,8.053578,16.107156,24.160734,40.474392
Quercus agrifolia,,12.8506855,16.082518,19.3143505,25.860883
Quercus douglasii,,4.9723421,7.7445362,10.5167303,16.1322004
Quercus douglasii,,4.9723421,7.7445362,10.5167303,16.1322004
Quercus garryana,,5.895471623,10.49294155,14.58709181,21.95592059
Quercus garryana,,5.9046872,7.9076804,9.9106736,13.9680188
Quercus garryana,,5.9046872,7.9076804,9.9106736,13.9680188
Quercus garryana,,5.895471623,10.49294155,14.58709181,21.95592059
Quercus garryana,,4.579656806,7.655694042,10.14675246,14.11681265
Quercus garryana,,4.579656806,7.655694042,10.14675246,14.11681265
Quercus kelloggii,,5.5032529,7.5998578,9.6964627,13.9434316
Quercus kelloggii,,5.5032529,7.5998578,9.6964627,13.9434316
Umbellularia californica,,3.3188783,5.0132996,6.7077209,10.1400102
Umbellularia californica,,3.51854107,6.091421161,8.300619542,12.10999743
