"","X","Plot","Quad","UTM.x","UTM.y","AEA.x","AEA.y","GEO.x","GEO.y","Tubbs.MTBS.RDNBR.30","Tubbs.MTBS.DNBR.30","Tubbs.MTBS.DNBR6.30","Kincade.MTBS.RDNBR.30","Kincade.MTBS.DNBR.30","Kincade.MTBS.DNBR6.30","Tubbs.Tukman.CanDam.10","Tubbs.Clark.RBR.30","Tubbs.BARC.dNBR.20","Tubbs.BARC.dNDVI.5","Tubbs.BARC.dNDVI4.5","Tubbs.BARC.SBS4.5"
"1",1,"PPW1501","A1",526232,4270319,-234811.90077886,66103.6183640296,-122.698829905546,38.5809516071642,500,347,3,65,36,1,89.2088470458984,346.742095947266,51,58,1,2
"2",2,"PPW1501","A2",526232,4270339,-234811.265069464,66123.6432902371,-122.698829152849,38.581131844771,407,273,2,104,65,2,89.2088470458984,293.490203857422,44,60,1,2
"3",3,"PPW1501","A3",526232,4270359,-234810.62935984,66143.6682150182,-122.698828400146,38.5813120823722,275,182,2,22,3,1,25.6319923400879,221.193130493164,61,40,1,2
"4",4,"PPW1501","A4",526231.999999999,4270379,-234809.993649988,66163.6931383675,-122.698827647436,38.5814923199678,275,182,2,114,78,2,25.6319923400879,221.193130493164,74,72,2,2
"5",5,"PPW1501","A5",526232,4270399,-234809.35793991,66183.7180602979,-122.698826894719,38.5816725575578,286,196,2,208,154,2,25.6319923400879,215.865859985352,74,79,1,2
"6",6,"PPW1501","B1",526252,4270319,-234791.930161884,66102.984022161,-122.698600288108,38.5809510161145,517,342,3,100,61,2,89.2088470458984,350.171356201172,58,84,2,2
"7",7,"PPW1501","B2",526252,4270339,-234791.294451082,66123.0089480639,-122.698599534838,38.5811312537175,456,309,2,82,51,1,89.2088470458984,263.268737792969,49,65,1,2
"8",8,"PPW1501","B3",526252,4270359,-234790.658740054,66143.0338725438,-122.698598781561,38.5813114913149,275,182,2,82,51,1,89.2088470458984,221.193130493164,58,58,1,2
"9",9,"PPW1501","B4",526251.999999999,4270379,-234790.023028798,66163.0587955997,-122.698598028277,38.5814917289067,275,182,2,114,78,2,38.788688659668,221.193130493164,67,57,1,2
"10",10,"PPW1501","B5",526252,4270399,-234789.387317314,66183.0837172316,-122.698597274986,38.5816719664929,190,115,2,208,154,2,38.788688659668,215.410125732422,81,64,2,2
"11",11,"PPW1501","C1",526272,4270319,-234771.959545222,66102.3496786174,-122.698370670678,38.5809504246143,517,342,3,100,61,2,89.2088470458984,350.171356201172,58,52,1,1
"12",12,"PPW1501","C2",526272,4270339,-234771.323833018,66122.3746042256,-122.698369916834,38.5811306622135,418,292,2,60,32,1,89.2088470458984,251.588439941406,56,39,1,1
