"","Plot","UTM.E","UTM.N","Slope","Aspect","Super.Plot","AEA.x","AEA.y","cwd","marrad","model3","plp100","plp500","topoid","tpi100","tpi500","tpi1000","dem","slope"
"1","PPW1301",526265,4270350,26,350,1,-234768.9114,66138.60323,794.156677246094,548.099975585938,4.5340781211853,38.1703453063965,31.0898666381836,5.31951999664307,-5.56292676925659,-20.179349899292,1.20132398605347,378.865295410156,13.9856395721436
"2","PPW1302",525447,4269576,NA,NA,0,-235607.4134,65391.56497,1023.65997314453,670.099975585938,5.30321216583252,52.9968452453613,63.8113441467285,4.80800580978394,4.89340209960938,21.3404197692871,41.9845314025879,386.217712402344,17.6759300231934
"3","PPW1303",526143,4269065,20,137,0,-234928.5287,64857.33429,989.093322753906,767.200012207031,4.77315807342529,52.0504722595215,50.885913848877,5.16103410720825,-1.54186999797821,4.57253980636597,-7.94479417800903,307.855407714844,23.7272701263428
"4","PPW1304",525944,4269218,25,201,0,-235122.5849,65016.72634,990.909973144531,729.400024414062,5.06393384933472,54.258674621582,63.7093696594238,5.09429788589478,-1.02810704708099,28.5766296386719,27.1690998077393,353.218688964844,27.5656700134277
"5","PPW1305",526058,4269630,34,28,0,-234996.1972,65425.44528,907.306701660156,649.400024414062,4.82578420639038,52.0504722595215,42.2689628601074,6.42588186264038,0.75836181640625,-4.77191209793091,24.5625305175781,390.831085205078,11.3403301239014
"6","PPW1306",526022,4270886,15,20,0,-234991.3754,66684.65692,846.326721191406,585.5,4.45429611206055,52.6813888549805,48.2600364685059,6.15479803085327,-1.5989990234375,1.28979504108429,22.1963195800781,379.167602539062,9.75058555603027
"7","PPW1307",525888,4270668,28.5,46,1,-235133.0634,66465.78487,695.843322753906,503.799987792969,4.91147089004517,50.4731864929199,49.8534088134766,5.02853393554688,-4.97878980636597,-4.75714111328125,23.891450881958,400.842712402344,26.2745494842529
"8","PPW1308",522747,4273140,14,12,0,-238189.91,69045.28799,873.523315429688,549.900024414062,2.29088497161865,27.7602519989014,38.355640411377,6.67344379425049,-6.30638885498047,-12.667670249939,-9.90312957763672,125.435203552246,12.0747499465942
"9","PPW1309",522830,4273334,10.5,234,1,-238098.7338,69242.07181,1048.806640625,655.700012207031,4.21242523193359,52.6813888549805,69.8024215698242,5.25524377822876,2.20872497558594,18.7106800079346,16.9028491973877,150.049606323242,13.6083297729492
"10","PPW1310",522783,4273545,25,351,1,-238141.2675,69447.96847,718.973327636719,430.299987792969,5.54456377029419,69.7160873413086,57.6673049926758,4.11096811294556,10.5152902603149,3.53451490402222,-3.2199170589447,123.145301818848,25.1365394592285
"11","PPW1311",522491,4273327,33,261,0,-238471.7019,69219.20226,931.296691894531,597.400024414062,2.42879199981689,27.7602519989014,82.2307205200195,4.52771806716919,-5.23179578781128,20.9156494140625,20.1932106018066,140.481796264648,28.98291015625
"12","PPW1312",522503,4272837,21,328,1,-238440.1959,68752.20816,970.299987792969,628.299987792969,2.86156606674194,54.889591217041,35.347354888916,6.72586011886597,-3.83182501792908,-11.8919095993042,-10.6753396987915,121.301803588867,4.31677579879761
"13","PPW1313",522844,4272670,34,36,0,-238109.0414,68571.44047,810.419982910156,527.400024414062,2.61102795600891,50.1577301025391,50.7202033996582,6.0924391746521,-4.03268384933472,-9.11288547515869,-10.3340902328491,139.055694580078,20.2660903930664
"14","PPW1314",523238,4272549,23,238,0,-237718.9969,68438.32974,1014.86999511719,648.900024414062,4.25218391418457,59.9369087219238,29.9043979644775,5.6465311050415,3.01136803627014,-15.7860898971558,-21.2908802032471,155.808807373047,12.1323299407959
