"","x"
"UMBCAL",13712.4785922602
"QUEGAR",43537.871745517
"QUEAGR",36083.398595318
"PSEMEN",16106.6085991428
"HETARB",1146.77556633988
"QUEKEL",14793.2492969481
"ARBMEN",6394.49507648892
"QUEDOU",11839.8773132165
"AMOCAL",60.0986674631727
"FRACAL",42.3565229520244
"ARCMAN",537.89564016601
"QUEBER",22.9179184079375
"AESCAL",667.98113796953
"NOTDEN",197.606177910798
"CERBET",0.486946861306418
"SEQSEM",1142.04746939623
"ACEMAC",485.454604795963
"FRALAT",283.607276802819
"ADEFAS",9.46404786893925
"QUELOB",309.525416194934
"RHACRO",0
"PRUCER",4.74380490692059
"TORCAL",0
"CEAPAR",0
"QUEWIS",13.233959053247
"CEACUN",0
"SAMNIG",0
"CORCOR",0
"HOLDIS",0
