"","X","Genus_species","Common_name","OrigSpecies","Species","Shrub.Tree","Dec.Ever","Resprout","Con.Ang","SGroup","FuncGroup","Common","tot.abund"
"1",1,"Acer macrophyllum","Bigleaf maple","ACEMAC","ACEMAC","T","D","Y","A","Other","Riparian.Tree","No",14
"2",2,"Adenostoma fasciculatum","Chamise","ADEFAS","ADEFAS","S","E","Y","A","Other","R.Shrub","No",10
"3",3,"Aesculus californica","Buckeye","AESCAL","AESCAL","T","D","Y","A","Other","R.Shrub","No",49
"4",4,"Amorpha californica","California False Indigo","AMOCAL","AMOCAL","S","D","Y","A","Other","R.Shrub","Yes",427
"5",5,"Arbutus menziesii","Madrone","ARBMEN","ARBMEN","T","E","Y","A","EHRO","EHRO","Yes",489
"6",6,"Arctostaphylos manzanita","Common Manzanita","ARCMAN","ARCMAN","S","E","N","A","Other","NS.Shrub","Yes",68
"7",7,"Baccharis pilularis","Coyote Brush","BACPIL","BACPIL","S","E","Y","A","Other","R.Shrub","No",NA
"8",8,"Ceanothus cuneatus","Buckbrush","CEACUN","CEACUN","S","E","N","A","Other","NS.Shrub","No",3
"9",9,"Ceanother parryi","Parry's Ceanothus","CEAPAR","CEAPAR","S","E","Y","A","Other","R.Shrub","No",4
"10",10,"Cercocarpus betuloides","Mountain Mahogany","CERBET","CERBET","S","E","Y","A","Other","R.Shrub","No",22
"11",11,"Corylus cornuta","Beaked Hazelnut","CORCOR","CORCOR","S","D","Y","A","Other","R.Shrub","No",1
"12",12,"Frangula californica","Coffeeberry","FRACAL","FRACAL","S","E","Y","A","Other","R.Shrub","Yes",147
"13",13,"Fraxinus latifolia","Ash","FRALAT","FRALAT","T","D","Y","A","Other","Riparian.Tree","No",12
"14",14,"Heteromeles arbutifolia","Toyon","HETARB","HETARB","S","E","Y","A","Other","R.Shrub","Yes",707
"15",15,"Holodiscus discolor","Ocean Spray","HOLDIS","HOLDIS","S","D","Y","A","Other","R.Shrub","No",1
"16",16,"Notholithocarpus densiflorus","Tanoak","NOTDEN","NOTDEN","T","E","Y","A","EHRO","EHRO","No",23
"17",17,"Prunus cerasifera","Cherry Plum","PRUCER","PRUCER","T","D","Y","A","Other","R.Shrub","No",5
"18",18,"Pseudotsuga menziesii","Douglas-Fir","PSEMEN","PSEMEN","T","E","N","C","CON","NS.Con","Yes",1488
"19",19,"Quercus agrifolia","Coast Live Oak","QUEAGR","QUEAGR","T","E","Y","A","EHRO","EHRO","Yes",1784
"20",20,"Quercus berberidifolia","Scrub Oak","QUEBER","QUEBER","S","E","Y","A","WHTO","R.Shrub","No",56
"21",21,"Quercus douglassii","Blue Oak","QUEDOU","QUEDOU","T","D","Y","A","WHTO","WHTO","Yes",481
"22",22,"Quercus garryana","Oregon White Oak","QUEGAR","QUEGAR","T","D","Y","A","WHTO","WHTO","Yes",1847
"23",23,"Quercus kelloggii","California Black Oak","QUEKEL","QUEKEL","T","D","Y","A","EHRO","EHRO","Yes",534
"24",24,"Quercus lobata","Valley Oak","QUELOB","QUELOB","T","D","Y","A","WHTO","WHTO","No",10
"25",25,"Quercus wislizeni","Interior Live Oak","QUEWIS","QUEWIS","T","E","Y","A","EHRO","EHRO","No",4
"26",26,"Rhamnus crocea","Spriny Reberry","RHACRO","RHACRO","S","E","Y","A","Other","R.Shrub","No",8
"27",27,"Salix sp.","Willow","SAL_SP","SAL.SP","T","D","Y","A","Other","R.Shrub","No",NA
"28",28,"Sambucus nigra","Black Elderberry","SAMNIG","SAMNIG","S","D","Y","A","Other","R.Shrub","No",2
"29",29,"Sequoia sempervirens","Redood","SEQSEM","SEQSEM","T","E","Y","C","CON","R.Con","No",18
"30",30,"Torreya californica","California Torreya","TORCAL","TORCAL","S","E","Y","C","CON","R.Shrub","No",5
"31",31,"Umbellularia californica","California Bay","UMBCAL","UMBCAL","T","E","Y","A","EHRO","EHRO","Yes",2065
