"","x"
"1",0.0454545454545454
"2",0.0646464646464646
"3",0.25
"4",0
"5",0.0422899884925202
"6",0.243243243243243
"7",0.0676132521974307
"8",0.0119047619047619
"9",0
"10",0.203703703703704
"11",0.0447635135135135
"12",0.0123828320549632
"13",0.0416550181716522
"14",0.333333333333333
"15",0.105555555555556
"16",0.247368421052632
"17",0.0641646489104116
"18",0.227272727272727
"19",0.156410256410256
"20",0.0991143772376107
"21",0.0532015065913371
"22",0.131313131313131
"23",0.0512820512820513
"24",0.282352941176471
"25",0.15993265993266
"26",0.16755138920262
"27",0.0482160077145612
"28",0.525448772360024
"29",0.0871839581517001
"30",0.105953482225453
"31",0.251784555483452
"32",0.0394248608534323
"33",0.0958156458459672
"34",0.0142276422764227
"35",0.0313004595702398
"36",0.150909090909091
"37",0.181862745098039
"38",0.107389162561576
"39",0.0939890710382513
"40",0.378002856771848
"41",0.283333333333333
"42",0.714285714285714
"43",0.109803004314154
"44",0
"45",0.100784632034632
"46",0.0907398212512413
"47",0.0467216185837392
"48",0.112982494892043
"49",0.215686274509804
"50",0.195356679636835
"51",0.377049180327869
"52",0.638888888888889
"53",0.411764705882353
"54",0.0361111111111111
