"","SpCode","Type","N17","N18.DN","N18.DR","N18.Lx","nMissing"
"5","ACEMAC","HLT",14,0,1,13,0
"6","ADEFAS","SA",3,1,0,2,0
"7","ADEFAS","ST",7,4,3,0,0
"11","AESCAL","SA",6,4,0,2,0
"12","AESCAL","ST",2,1,1,0,0
"13","AESCAL","MT",16,1,1,14,0
"14","AESCAL","LT",1,0,0,1,0
"15","AESCAL","HLT",24,1,1,22,0
"16","AMOCAL","SA",374,64,257,53,0
"17","AMOCAL","ST",53,16,32,5,0
"21","ARBMEN","SA",151,83,37,31,0
"22","ARBMEN","ST",70,27,24,19,0
"23","ARBMEN","MT",23,0,11,12,0
"24","ARBMEN","LT",40,2,8,30,0
"25","ARBMEN","HLT",205,14,61,130,0
"26","ARCMAN","SA",9,8,0,1,0
"27","ARCMAN","ST",27,22,0,5,0
"28","ARCMAN","MT",22,9,0,13,0
"29","ARCMAN","LT",3,2,0,1,0
"30","ARCMAN","HLT",7,2,0,5,0
"31","CEACUN","SA",3,2,0,1,0
"36","CEAPAR","SA",4,0,0,4,0
"41","CERBET","SA",22,6,16,0,0
"46","CORCOR","SA",1,0,1,0,0
"51","FRACAL","SA",116,71,41,4,0
"52","FRACAL","ST",31,17,13,1,0
"60","FRALAT","HLT",12,0,0,12,0
"61","HETARB","SA",164,72,44,48,0
"62","HETARB","ST",538,266,226,46,0
"63","HETARB","MT",5,1,2,2,0
"66","HOLDIS","SA",1,1,0,0,0
"71","NOTDEN","SA",9,5,4,0,0
"72","NOTDEN","ST",6,2,4,0,0
"73","NOTDEN","MT",2,0,2,0,0
"74","NOTDEN","LT",1,1,0,0,0
"75","NOTDEN","HLT",5,0,5,0,0
"76","PRUCER","SA",3,1,0,2,0
"77","PRUCER","ST",2,0,0,2,0
"81","PSEMEN","SA",543,506,0,37,0
"82","PSEMEN","ST",452,361,0,91,0
"83","PSEMEN","MT",100,36,0,64,0
"84","PSEMEN","LT",109,45,0,64,0
"85","PSEMEN","HLT",284,165,0,119,0
"86","QUEAGR","SA",413,118,120,175,0
"87","QUEAGR","ST",103,42,30,31,0
"88","QUEAGR","MT",83,12,15,56,0
"89","QUEAGR","LT",181,11,12,158,0
"90","QUEAGR","HLT",1004,49,27,928,0
"91","QUEBER","SA",42,2,8,32,0
"92","QUEBER","ST",14,0,0,14,0
"96","QUEDOU","SA",3,0,2,1,0
"97","QUEDOU","ST",3,1,0,2,0
"98","QUEDOU","MT",21,6,0,15,0
"99","QUEDOU","LT",61,3,0,58,0
"100","QUEDOU","HLT",393,15,0,378,0
"101","QUEGAR","SA",17,2,11,4,0
"102","QUEGAR","ST",8,4,2,2,0
"103","QUEGAR","MT",140,19,4,117,0
"104","QUEGAR","LT",220,14,5,201,0
"105","QUEGAR","HLT",1462,57,11,1394,0
"106","QUEKEL","SA",3,3,0,0,0
"107","QUEKEL","ST",4,1,2,1,0
"108","QUEKEL","MT",23,8,5,10,0
"109","QUEKEL","LT",45,11,7,27,0
"110","QUEKEL","HLT",459,49,49,361,0
"114","QUELOB","LT",1,0,0,1,0
"115","QUELOB","HLT",9,0,0,9,0
"116","QUEWIS","SA",1,0,0,1,0
"117","QUEWIS","ST",3,1,0,2,0
"121","RHACRO","SA",8,0,0,8,0
"126","SAMNIG","SA",2,0,0,2,0
"135","SEQSEM","HLT",18,0,4,14,0
"136","TORCAL","SA",5,3,2,0,0
"141","UMBCAL","SA",1186,472,504,210,0
"142","UMBCAL","ST",299,65,152,82,0
"143","UMBCAL","MT",60,5,21,34,0
"144","UMBCAL","LT",24,1,3,20,0
"145","UMBCAL","HLT",496,25,51,420,0
"146","TOTAL","SA",3089,1424,1047,618,0
"147","TOTAL","ST",1622,830,489,303,0
"148","TOTAL","MT",495,97,61,337,0
"149","TOTAL","LT",686,90,35,561,0
"150","TOTAL","HLT",4392,377,210,3805,0
