"","plot","hect","GEO.x","GEO.y","vt","fsLevel","CON","EHRO","WHTO","TBA.m2.ha","TBiom.mt.ha","propMort","del.cM"
"PPW1301","PPW1301","YES",-122.698347511,38.5812772163529,"WO",2,0,0,100,28.1552920644297,223.861601850464,0.0909090909090909,0.0895305025537436
"PPW1302","PPW1302",NA,-122.707734559478,38.5743444279525,"MH",2,0.6,93.7,5.7,65.8816173648203,595.961081611765,0.388888888888889,0.0685890336025108
"PPW1303","PPW1303",NA,-122.699761866422,38.5697145028377,"MH",2,0,67.3,32.7,12.2656612925484,107.299960137876,0.3,0.619448694148076
"PPW1304","PPW1304",NA,-122.702042913212,38.5710981105876,"WO",1,0,7.7,92.3,25.8196700973798,227.658378403426,0,0
"PPW1305","PPW1305",NA,-122.70072500734,38.5748059126482,"MH",2,0,99.2,0.8,41.6002699327229,363.587395798332,0.443037974683544,0.0257724265490478
"PPW1306","PPW1306",NA,-122.701081805892,38.5861306433898,"MH",3,1,99,0,21.6180459630048,177.855238151755,0.540540540540541,0.577143317195043
"PPW1307","PPW1307","YES",-122.702637844352,38.5841261087872,"MH",2,5.9,89,5.1,28.3957242370447,230.210680308947,0.431372549019608,0.0881131519075793
"PPW1308","PPW1308",NA,-122.738610263019,38.6065332687503,"WO",0,0,0,100,25.3390849611969,207.892460757793,0.142857142857143,0.0286382133459527
"PPW1309","PPW1309","YES",-122.737627852845,38.6083265291417,"MH",0,0,70,30,21.5051834615264,185.434273238829,0,0
"PPW1310","PPW1310","YES",-122.738184981388,38.6101670032494,"WO",2,0,0,100,15.9210957858024,123.818149049423,0.333333333333333,0.40544810731244
"PPW1311","PPW1311",NA,-122.741906199125,38.6080239274276,"WO",0,0,0,100,33.65172439638,266.486564416448,0.135135135135135,0.0543311437484729
"PPW1312","PPW1312","YES",-122.741388937114,38.6038326931115,"MH",0,1.3,98.3,0.5,39.4102782131522,329.551780329522,0.0468384074941452,0.0251761778332747
"PPW1313","PPW1313",NA,-122.737523719653,38.6022932145728,"MH",1,0.1,98.8,1.1,39.0241965508031,330.30890980034,0.328767123287671,0.0293169277731741
"PPW1314","PPW1314",NA,-122.732997787433,38.6011974391446,"WO",1,0,9.7,90.3,27.6846569412293,228.443532587133,0.333333333333333,0.406744264123367
"PPW1315","PPW1315","YES",-122.715868340879,38.5922674833687,"WO",1,0.3,3.7,96,25.5109277231538,194.792433781255,0.2,0.302205109652596
"PPW1316","PPW1316",NA,-122.71544384267,38.5937172050743,"MH",2,0,98.1,1.9,56.6938623595882,487.541042259895,0.366666666666667,0.226062245741605
"PPW1317","PPW1317",NA,-122.715323448083,38.592520590876,"WO",1,0,7.6,92.4,37.3838027548073,282.029055604655,0.288135593220339,0.028096055609005
"PPW1318","PPW1318",NA,-122.717287443293,38.5948197548907,"WO",2,0,45.8,54.2,45.3645046518047,385.204625514814,0.3125,0.281088834446816
"PPW1319","PPW1319",NA,-122.718422346686,38.5942174770986,"MH",1,1.7,75,23.4,17.5359364562025,137.258285806191,0.230769230769231,0.355800920695204
"PPW1320","PPW1320",NA,-122.720084094417,38.572143767381,"Mix3",2,49.5,34.3,16.3,54.7781562694923,412.753688450261,0.64344262295082,0.187072470600088
"PPW1321","PPW1321","YES",-122.715879237128,38.5744887336192,"WO",1,0,42.7,57.3,22.9422836188111,182.249120644258,0.186440677966102,0.102581497658653
"PPW1322","PPW1322","YES",-122.711875606485,38.5741282532634,"WO",1,0,13.7,86.3,30.5701361624737,252.485722877366,0.181818181818182,0.355065060176497
"PPW1323","PPW1323",NA,-122.732490922417,38.5999971903098,"MH",1,0,69,31,24.480978562823,200.132829104193,0.0769230769230769,0.12333499001292
"PPW1324","PPW1324","YES",-122.726544709402,38.5962235742377,"MH",1,0.1,62.4,37.4,26.8546481621509,223.098829714314,0.32,0.598266585849334
"PPW1325","PPW1325","YES",-122.695999180169,38.5853975545472,"WO",2,0,8.1,91.9,32.0138354314768,258.209707001581,0.185185185185185,0.131518195128074
"PPW1326","PPW1326",NA,-122.710909456071,38.5906520449496,"Mix3",1,41.6,16.6,41.8,51.8821103013576,353.173733504548,0.67381974248927,0.169741060420792
"PPW1327","PPW1327",NA,-122.736855842493,38.5681368491499,"MH",0,47.7,50.4,1.9,55.6762050732136,403.131725488174,0.102941176470588,0.0961755807137248
"PPW1328","PPW1328",NA,-122.719517590575,38.5751360152752,"MH",1,2.4,96.9,0.7,51.9293245119502,408.977417809654,0.700650759219089,0.934393005077324
"PPW1329","PPW1329",NA,-122.723276923464,38.5944239644714,"MH",1,0,92.1,7.9,63.4894514423948,536.23807563709,0.162162162162162,0.116013314564509
"PPW1330","PPW1330",NA,-122.726932095176,38.5914708513177,"Mix3",1,27.2,24.9,47.9,34.4528279705013,223.319360171826,0.489130434782609,0.169716129070692
"PPW1331","PPW1331",NA,-122.729976712539,38.5945532994453,"Mix3",1,41.1,23.5,35.4,45.1353985097545,327.213357895289,0.656716417910448,0.304702892644187
"PPW1332","PPW1332","YES",-122.713239479088,38.5896795981899,"WO",1,0,22.8,77.2,45.7467051199038,363.14081912226,0.102040816326531,0.0581908612529238
"PPW1333","PPW1333",NA,-122.711046004851,38.5899708379669,"MH",2,0.1,68.6,31.2,36.9222923874693,305.999995669036,0.474226804123711,0.16221504750427
"PPW1334","PPW1334",NA,-122.714124805596,38.5896512838174,"WO",2,0,0,100,44.9126552709251,357.265279109123,0.121951219512195,0.0277622934002455
"PPW1335","PPW1335","YES",-122.711719033093,38.5875979339869,"WO",1,0.1,0.2,99.7,37.4165108576716,308.641714360258,0.144329896907216,0.072429408261167
"PPW1336","PPW1336",NA,-122.70750085066,38.5877087528934,"MH",2,0,67.9,32,38.6200065049252,314.917827258101,0.431818181818182,0.163446782464269
"PPW1337","PPW1337",NA,-122.700150581744,38.5888968359951,"CON",2,93,7,0,80.0334447444419,484.783110012573,0.607843137254902,0.10099385141108
"PPW1338","PPW1338","YES",-122.713467267095,38.5754927950555,"MH",1,0.8,99.2,0,36.5860349630355,306.777254872903,0.171428571428571,0.218473851179914
"PPW1339","PPW1339","YES",-122.713977251788,38.5769566401439,"MH",1,0.1,77,23,43.6313482641283,370.51163413395,0.262295081967213,0.150381183064158
"PPW1340","PPW1340","YES",-122.687571816507,38.5716954217076,"CON",3,76.3,23.7,0,42.8822867431099,287.864224928965,0.662251655629139,0.755935185399609
