"","plot","vt","fsLevel","fsCol","vtshp","CON","EHRO","WHTO","fsCat"
"PPW1301","PPW1301","WO",2,"#FE6100",16,0,0,100,"2"
"PPW1302","PPW1302","MH",2,"#FE6100",15,0.6,93.7,5.7,"2"
"PPW1303","PPW1303","MH",2,"#FE6100",15,0,67.3,32.7,"2"
"PPW1304","PPW1304","WO",1,"#FFB000",16,0,7.7,92.3,"1"
"PPW1305","PPW1305","MH",2,"#FE6100",15,0,99.2,0.8,"2"
"PPW1306","PPW1306","MH",3,"#DC267F",15,1,99,0,"3"
"PPW1307","PPW1307","MH",2,"#FE6100",15,5.9,89,5.1,"2"
"PPW1308","PPW1308","WO",0,"#00FF01",16,0,0,100,"0"
"PPW1309","PPW1309","MH",0,"#00FF01",15,0,70,30,"0"
"PPW1310","PPW1310","WO",2,"#FE6100",16,0,0,100,"2"
"PPW1311","PPW1311","WO",0,"#00FF01",16,0,0,100,"0"
"PPW1312","PPW1312","MH",0,"#00FF01",15,1.3,98.3,0.5,"0"
"PPW1313","PPW1313","MH",1,"#FFB000",15,0.1,98.8,1.1,"1"
"PPW1314","PPW1314","WO",1,"#FFB000",16,0,9.7,90.3,"1"
"PPW1315","PPW1315","WO",1,"#FFB000",16,0.3,3.7,96,"1"
"PPW1316","PPW1316","MH",2,"#FE6100",15,0,98.1,1.9,"2"
"PPW1317","PPW1317","WO",1,"#FFB000",16,0,7.6,92.4,"1"
"PPW1318","PPW1318","WO",2,"#FE6100",16,0,45.8,54.2,"2"
"PPW1319","PPW1319","MH",1,"#FFB000",15,1.7,75,23.4,"1"
"PPW1320","PPW1320","Mix3",2,"#FE6100",17,49.5,34.3,16.3,"2"
"PPW1321","PPW1321","WO",1,"#FFB000",16,0,42.7,57.3,"1"
"PPW1322","PPW1322","WO",1,"#FFB000",16,0,13.7,86.3,"1"
"PPW1323","PPW1323","MH",1,"#FFB000",15,0,69,31,"1"
"PPW1324","PPW1324","MH",1,"#FFB000",15,0.1,62.4,37.4,"1"
"PPW1325","PPW1325","WO",2,"#FE6100",16,0,8.1,91.9,"2"
"PPW1326","PPW1326","Mix3",1,"#FFB000",17,41.6,16.6,41.8,"1"
"PPW1327","PPW1327","MH",0,"#00FF01",15,47.7,50.4,1.9,"0"
"PPW1328","PPW1328","MH",1,"#FFB000",15,2.4,96.9,0.7,"1"
"PPW1329","PPW1329","MH",1,"#FFB000",15,0,92.1,7.9,"1"
"PPW1330","PPW1330","Mix3",1,"#FFB000",17,27.2,24.9,47.9,"1"
"PPW1331","PPW1331","Mix3",1,"#FFB000",17,41.1,23.5,35.4,"1"
"PPW1332","PPW1332","WO",1,"#FFB000",16,0,22.8,77.2,"1"
"PPW1333","PPW1333","MH",2,"#FE6100",15,0.1,68.6,31.2,"2"
"PPW1334","PPW1334","WO",2,"#FE6100",16,0,0,100,"2"
"PPW1335","PPW1335","WO",1,"#FFB000",16,0.1,0.2,99.7,"1"
"PPW1336","PPW1336","MH",2,"#FE6100",15,0,67.9,32,"2"
"PPW1337","PPW1337","CON",2,"#FE6100",18,93,7,0,"2"
"PPW1338","PPW1338","MH",1,"#FFB000",15,0.8,99.2,0,"1"
"PPW1339","PPW1339","MH",1,"#FFB000",15,0.1,77,23,"1"
"PPW1340","PPW1340","CON",3,"#DC267F",18,76.3,23.7,0,"3"
"PPW1341","PPW1341","CON",3,"#DC267F",18,73.2,26.8,0,"3"
"PPW1342","PPW1342","CON",3,"#DC267F",18,98.7,1.3,0,"3"
"PPW1343","PPW1343","CON",1,"#FFB000",18,53,37.5,9.4,"1"
"PPW1344","PPW1344","WO",0,"#00FF01",16,0,18.3,81.7,"0"
"PPW1345","PPW1345","WO",2,"#FE6100",16,1.6,3.4,95.1,"2"
"PPW1346","PPW1346","WO",2,"#FE6100",16,0,27.6,72.4,"2"
"PPW1347","PPW1347","CON",0,"#00FF01",18,77.6,8,14.4,"0"
"PPW1348","PPW1348","WO",1,"#FFB000",16,19,2.9,78,"1"
"PPW1349","PPW1349","MH",3,"#DC267F",15,13,87,0,"3"
"PPW1350","PPW1350","CON",1,"#FFB000",18,80.3,13.7,6,"1"
"PPW1351","PPW1351","CON",3,"#DC267F",18,84.9,15.1,0,"3"
"PPW1352","PPW1352","CON",3,"#DC267F",18,72.3,23.1,4.6,"3"
"PPW1353","PPW1353","MH",3,"#DC267F",15,18,82,0,"3"
"PPW1354","PPW1354","CON",3,"#DC267F",18,62.3,37.7,0,"3"
