"","T1","T1N.p","T1N.h","T1babh.plots","T1babh.hect","T1bad10"
"UMBCAL",2065,1566,499,1907.39441768214,11805.084174578,17811.6755592265
"QUEGAR",1847,376,1471,6913.65582886526,36624.2159166518,52745.7059574513
"QUEAGR",1784,778,1006,6385.29492240289,29698.1036729151,43944.8586649406
"PSEMEN",1488,1202,286,6233.28974725711,9873.31885188567,20152.9024150261
"HETARB",707,707,NA,1146.77556633988,NA,1939.46593177299
"QUEKEL",534,75,459,1535.09998026848,13258.1493166796,17845.8261793355
"ARBMEN",489,281,208,1430.70014400071,4963.79493248822,7964.75216775439
"QUEDOU",481,84,397,1800.28967013963,10039.5876430769,14326.9505533574
"AMOCAL",427,427,NA,60.0986674631727,NA,426.784419512377
"FRACAL",147,147,NA,42.3565229520244,NA,169.176083864725
"ARCMAN",68,61,7,409.797199715887,128.098440450124,695.623446241789
"QUEBER",56,56,NA,22.9179184079375,NA,70.0114604267508
"AESCAL",49,25,24,218.49776905717,449.48336891236,825.459752916025
"NOTDEN",23,18,5,66.6803040724433,130.925873838355,249.804996487254
"CERBET",22,22,NA,0.486946861306418,NA,15.7629411393868
"SEQSEM",18,NA,18,NA,1142.04746939623,1358.174592637
"ACEMAC",14,NA,14,NA,485.454604795963,582.659879727746
"FRALAT",12,NA,12,NA,283.607276802819,343.606669938138
"ADEFAS",10,10,NA,9.46404786893925,NA,23.0363564509779
"QUELOB",10,1,9,34.0862802914493,275.439135903485,372.405649793596
"RHACRO",8,8,NA,0,NA,5.18362787842316
"PRUCER",5,5,NA,4.74380490692059,NA,9.50570538752585
"TORCAL",5,5,NA,0,NA,4.13119433947058
"CEAPAR",4,4,NA,0,NA,0.785398163397448
"QUEWIS",4,4,NA,13.233959053247,NA,18.6026267389666
"CEACUN",3,3,NA,0,NA,1.845685683984
"SAMNIG",2,2,NA,0,NA,1.19380520836412
"CORCOR",1,1,NA,0,NA,0.879645943005142
"HOLDIS",1,1,NA,0,NA,1.03672557568463
