"","Var1","Var2","Var3","Freq"
"1","1","DN","HLT",0
"2","2","DN","HLT",9
"3","3","DN","HLT",12
"4","4","DN","HLT",4
"5","1","DR","HLT",0
"6","2","DR","HLT",13
"7","3","DR","HLT",10
"8","4","DR","HLT",28
"9","1","GC","HLT",25
"10","2","GC","HLT",304
"11","3","GC","HLT",69
"12","4","GC","HLT",22
"13","1","DN","LT",0
"14","2","DN","LT",0
"15","3","DN","LT",0
"16","4","DN","LT",1
"17","1","DR","LT",0
"18","2","DR","LT",0
"19","3","DR","LT",0
"20","4","DR","LT",3
"21","1","GC","LT",0
"22","2","GC","LT",10
"23","3","GC","LT",10
"24","4","GC","LT",0
"25","1","DN","MT",0
"26","2","DN","MT",0
"27","3","DN","MT",1
"28","4","DN","MT",4
"29","1","DR","MT",0
"30","2","DR","MT",0
"31","3","DR","MT",3
"32","4","DR","MT",18
"33","1","GC","MT",1
"34","2","GC","MT",22
"35","3","GC","MT",11
"36","4","GC","MT",0
"37","1","DN","SA",3
"38","2","DN","SA",330
"39","3","DN","SA",102
"40","4","DN","SA",37
"41","1","DR","SA",0
"42","2","DR","SA",323
"43","3","DR","SA",104
"44","4","DR","SA",48
"45","1","GC","SA",171
"46","2","GC","SA",39
"47","3","GC","SA",0
"48","4","GC","SA",0
"49","1","DN","ST",1
"50","2","DN","ST",27
"51","3","DN","ST",18
"52","4","DN","ST",19
"53","1","DR","ST",0
"54","2","DR","ST",72
"55","3","DR","ST",29
"56","4","DR","ST",51
"57","1","GC","ST",66
"58","2","GC","ST",15
"59","3","GC","ST",1
"60","4","GC","ST",0
